0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,target,answer,correct_answer,score,target_as
84.0,105.0,109.0,109.0,111.0,116.0,104.0,121.0,32.0,68.0,97.0,108.0,116.0,111.0,110.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,98.2,300.0,Timmothy Dalton,Timothy Dalton,0.982,0.0
74.0,111.0,110.0,97.0,104.0,32.0,72.0,105.0,108.0,108.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,100.0,171.0,Jonah Hill,Jonah Hill,1.0,0.0
77.0,101.0,114.0,121.0,108.0,32.0,83.0,116.0,114.0,101.0,101.0,112.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,100.0,220.0,Meryl Streep,Meryl Streep,1.0,0.0
75.0,97.0,116.0,104.0,121.0,32.0,66.0,97.0,116.0,101.0,115.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,100.0,182.0,Kathy Bates,Kathy Bates,1.0,0.0
75.0,97.0,116.0,104.0,108.0,101.0,101.0,110.0,32.0,84.0,117.0,114.0,110.0,101.0,114.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,100.0,181.0,Kathleen Turner,Kathleen Turner,1.0,0.0
65.0,108.0,97.0,110.0,32.0,82.0,105.0,99.0,107.0,109.0,97.0,110.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,100.0,5.0,Alan Rickman,Alan Rickman,1.0,0.0
77.0,105.0,110.0,110.0,105.0,101.0,32.0,68.0,114.0,105.0,118.0,101.0,114.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,100.0,229.0,Minnie Driver,Minnie Driver,1.0,0.0
75.0,121.0,108.0,101.0,32.0,77.0,99.0,71.0,108.0,97.0,117.0,103.0,104.0,108.0,97.0,110.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,88.9,196.0,Kyle McGlaughlan,Kyle MacLachlan,0.889,0.0
80.0,97.0,117.0,108.0,32.0,78.0,101.0,119.0,109.0,97.0,110.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,100.0,245.0,Paul Newman,Paul Newman,1.0,0.0
68.0,101.0,110.0,110.0,105.0,115.0,32.0,76.0,101.0,97.0,114.0,121.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,97.9,74.0,Dennis Leary,Denis Leary,0.9790000000000001,0.0
74.0,101.0,114.0,101.0,109.0,121.0,32.0,73.0,114.0,111.0,110.0,115.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,100.0,148.0,Jeremy Irons,Jeremy Irons,1.0,0.0
74.0,101.0,110.0,110.0,105.0,102.0,101.0,114.0,32.0,65.0,110.0,105.0,115.0,116.0,111.0,110.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,100.0,143.0,Jennifer Aniston,Jennifer Aniston,1.0,0.0
68.0,97.0,114.0,114.0,121.0,108.0,32.0,72.0,97.0,110.0,110.0,97.0,104.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,98.0,67.0,Darryl Hannah,Daryl Hannah,0.98,0.0
67.0,104.0,114.0,105.0,115.0,32.0,82.0,111.0,99.0,107.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,100.0,51.0,Chris Rock,Chris Rock,1.0,0.0
69.0,118.0,97.0,32.0,77.0,101.0,110.0,100.0,101.0,115.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,100.0,98.0,Eva Mendes,Eva Mendes,1.0,0.0
86.0,105.0,110.0,99.0,101.0,32.0,86.0,97.0,117.0,103.0,104.0,110.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,100.0,314.0,Vince Vaughn,Vince Vaughn,1.0,0.0
68.0,111.0,110.0,32.0,67.0,104.0,101.0,97.0,116.0,108.0,101.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,98.3,78.0,Don Cheatle,Don Cheadle,0.983,0.0
74.0,97.0,109.0,101.0,115.0,32.0,87.0,111.0,111.0,100.0,115.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,100.0,132.0,James Woods,James Woods,1.0,0.0
68.0,97.0,110.0,105.0,101.0,108.0,32.0,68.0,97.0,121.0,45.0,76.0,101.0,119.0,105.0,115.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,100.0,63.0,Daniel Day-Lewis,Daniel Day-Lewis,1.0,0.0
84.0,111.0,109.0,32.0,72.0,97.0,110.0,107.0,115.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,100.0,304.0,Tom Hanks,Tom Hanks,1.0,0.0
